"","FPKM.liver.tablemaker"
"685",19.0315
"686",4.22046
"687",3.01091
"688",3.32654
"689",2.33412
"690",0
"691",11.6349
"692",0
"693",0
"694",0
"695",0
"696",0
"697",4.8306
"698",2.65694
"699",0
"700",0
"701",3.46466
"702",0
"703",0
"704",0
"705",3.75033
"706",1.50877
"707",3.17428
"708",0
"709",0
"710",0
"711",2.34214
"712",5.14653
"713",6.64227
"714",8.35606
"715",77.3532
"716",0
"717",3.2167
"718",3.70281
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",3.46748
"728",0
"729",0
"730",2.67256
"731",3.7063
"732",0
"733",0
"734",0
"735",2.22376
"736",0
"737",0
"738",0
"739",0
"740",4.83654
"741",3.60178
"742",0
"743",24.8213
"744",0
"745",3.03086
"746",0
"747",413.927
"748",20.9016
"749",2.65178
"750",0
"751",8.55771
"752",3.00416
"753",0
"754",5.62786
"755",5.11471
"756",96.8269
"757",3.69612
"758",3.90792
"759",0
"760",1.60336
"761",0
"762",5.0546
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",15.2246
"770",4.10389
"771",31.1897
"772",71.6182
"773",0
"774",29.4325
"775",9.54848
"776",0
"777",0
"778",0.799812
"779",20.2788
"780",0
"781",4.06718
"782",0
"783",0
"784",1.15262
"785",0
"786",96.7092
"787",0
"788",16.9775
"789",146.115
"790",38.6868
"791",120.956
"792",0
"793",0
"794",0
"795",14.0095
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",0.508704
"804",1.46812
"805",0
"806",0
"807",0
"808",64.2112
"809",0
"810",1.46449
"811",0
"812",0
"813",0
"814",3.82944
"815",5.49475
"816",79.0191
"817",6.37289
"818",10.0862
"819",2.45453
"820",5.04837
"821",0
"822",0
"823",0
"824",0
"825",7.49378
"826",2.75356
"827",1.95403
"828",0
"829",2.19396
"830",0
"831",1.50433
"832",5.10824
"833",0
"834",0
"835",0
"836",0
"837",38.3548
"838",0
"839",43.2914
"840",0
"841",42.724
"842",0
"843",0
"844",11.2205
"845",14.4877
"846",14.3426
"847",0
"848",2.07338
"849",8.26514
"850",0
"851",8.74189
"852",0
"853",0
"854",0
"855",9.51517
"856",0
"857",0
"858",2.41684
"859",0
"860",12.9679
"861",3.0198
"862",33.8137
"863",0
"864",3.9978
"865",0
"866",9.97961
"867",0
"868",5.54689
"869",0
"870",0
"871",0
"872",5.98208
"873",0
"874",4.06718
"875",0
"876",4.05734
"877",1.12878
"878",1.04012
"879",0
"880",0.922622
"881",15.7071
"882",0
"883",35.2716
"884",0
"885",6.81893
"886",0
"887",0
"888",0
"889",1.36987
"890",6.92932
"891",0
"892",28.9011
"893",83.3117
"894",5.73641e-05
"895",2.44281
"896",0
"897",0
"898",0
"899",0
"900",9.41721
"901",0
"902",0
"903",21.7631
"904",0
"905",10.7298
"906",0
"907",0
"908",0
"909",0
"910",4.74655
"911",0
"912",0
"913",0
"914",0
"915",0
"916",0
"917",0
"918",5.07035
"919",0
"920",0
"921",5.38735
"922",0
"923",0
"924",0
"925",0
"926",0
"927",0
"928",0
"929",47.0786
"930",0
"931",2.92062
"932",0
"933",0
"934",0
"935",14.387
"936",0
"937",0
"938",0
"939",0
"940",0
"941",26.5973
"942",0
"943",3.2539
"944",45.8443
"945",0
"946",88.2604
"947",0.00023537
"948",21.2763
"949",36.2231
"950",0
"951",0
"952",5.24576
"953",14.4041
"954",11.4274
"955",5.0599
"956",0.0092296
"957",8.44794
"958",9.39502
"959",0
"960",6.62449
"961",2.44719
"962",4.41852
"963",0
"964",4.41852
"965",18.5308
"966",7.27398
"967",18.2661
"968",0
"969",2.02161
"970",0
"971",50.5049
"972",0
"973",0
"974",0
"975",0
"976",0
"977",16.2774
"978",0
"979",25.0939
"980",4.17104
"981",0
"982",1.01459
"983",2.39842
"984",0
"985",15.9672
"986",0
"987",0
"988",43.0666
"989",0
"990",0
"991",0
"992",12.0223
"993",0
"994",0
"995",0
"996",0.475289
"997",25.1857
"998",0
"999",0
"1000",90.9039
"1001",0
"1002",3.27536
"1003",3.76724e-05
"1004",3.79527e-05
"1005",0
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",3.16202
"1012",5.90428
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",2.8006
"1022",0
"1023",0
"1024",2.62288
"1025",4.23996
"1026",12.2747
"1027",0
"1028",10.4556
"1029",0
"1030",0
"1031",6.23253
"1032",0
"1033",3.44413
"1034",28.6628
"1035",74.4413
"1036",0.00158508
"1037",0
"1038",46.6722
"1039",0
"1040",5.3838
"1041",0
"1042",5.04501
"1043",0
"1044",0
"1045",15.1638
"1046",3.18416
"1047",12.1455
"1048",17.5914
"1049",1.3098
"1050",477.753
"1051",9.74078
"1052",0
"1053",0
"1054",0
"1055",36.8341
"1056",0
"1057",0
"1058",21.1424
"1059",8.33246
"1060",0
"1061",0
"1062",0
"1063",2.67431
"1064",0
"1065",1.99407
"1066",0
"1067",0
"1068",0
"1069",0
"1070",3.66632
"1071",2.87337
"1072",4.4427
"1073",0
"1074",0
"1075",0
"1076",7.63301
"1077",0
"1078",0
"1079",53.7591
"1080",10.315
"1081",0
"1082",0
"1083",0
"1084",1.2629
"1085",0
"1086",0
"1087",0
"1088",0
"1089",27.0243
"1090",0
"1091",44.1814
"1092",0
"1093",0
"1094",0
"1095",0
"1096",0
"1097",0
"1098",3.98402
"1099",8.98635
"1100",0
"1101",0
"1102",24.834
"1103",6.0754
"1104",170.656
"1105",0
"1106",0
"1107",3.84382
"1108",2.13891
"1109",2.3033
"1110",0
"1111",0
"1112",1.45615
"1113",136.592
"1114",0
"1115",0
"1116",0
"1117",10.5315
"1118",0
"1119",0
"1120",3.48817
"1121",6.49825
"1122",6.4
"1123",0
"1124",0
"1125",0
"1126",0
"1127",0
"1128",23.3343
"1129",0
"1130",0
