"","FPKM.brain.tablemaker"
"760",5.60841
"761",3.06496
"762",3.7737
"763",0
"764",0
"765",0
"766",0
"767",0
"768",1.80786
"769",0
"770",0
"771",0
"772",0
"773",4.68303
"774",0
"775",0
"776",7.54925
"777",0
"778",5.2578
"779",3.04186
"780",0
"781",85.1607
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",10.2452
"791",0.343954
"792",0.350498
"793",0.350866
"794",2.53944
"795",0
"796",0
"797",12.389
"798",9.37709
"799",0
"800",0
"801",40.8865
"802",32.2742
"803",0
"804",4.17016
"805",0
"806",3.83683
"807",6.54474
"808",61.1979
"809",0
"810",0
"811",0
"812",0
"813",3.33465
"814",2.19176
"815",0
"816",6.37876
"817",0
"818",1.54197
"819",2.15851
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",10.8743
"827",0.000105421
"828",15.2214
"829",0
"830",0
"831",1.37916
"832",0
"833",2.21413
"834",6.29023
"835",7.38141
"836",0
"837",0
"838",0
"839",17.7484
"840",12.988
"841",1.89469
"842",21.9933
"843",0
"844",0
"845",60.8653
"846",12.1561
"847",0
"848",0
"849",317.069
"850",0
"851",4.87894
"852",0
"853",0
"854",0
"855",1.61839
"856",3.40884
"857",0
"858",0
"859",0
"860",0
"861",9.63307
"862",0
"863",10.8867
"864",2.92605
"865",0.814111
"866",0.913617
"867",4.19117
"868",1.91002
"869",1.24317
"870",0
"871",2.54025
"872",0
"873",2.31935
"874",0
"875",0
"876",2.22108
"877",3.60101
"878",0
"879",4.63401
"880",22.0218
"881",0
"882",0
"883",0
"884",0
"885",6.4973
"886",3.92164
"887",0
"888",0
"889",0
"890",0
"891",0
"892",0
"893",12.7144
"894",98.0884
"895",0
"896",0
"897",0
"898",0
"899",4.16489
"900",11.309
"901",0
"902",1.80825
"903",1.79847
"904",21.8382
"905",1.95705
"906",7.65155
"907",0
"908",1.67838
"909",0
"910",11.8529
"911",0
"912",22.2626
"913",0
"914",11.5489
"915",0
"916",4.66658
"917",0.715094
"918",0.723921
"919",0
"920",0.216738
"921",2.78842e-89
"922",3.31831
"923",3.09232
"924",0
"925",2.87296
"926",0
"927",0
"928",0
"929",0
"930",15.0095
"931",0
"932",18.0661
"933",5.52672
"934",1.04002
"935",1.29616
"936",0
"937",0
"938",0
"939",0
"940",0
"941",0
"942",0
"943",0
"944",5.09638
"945",0
"946",0
"947",0
"948",0
"949",0
"950",0
"951",34.0919
"952",8.02636
"953",141.368
"954",16.5358
"955",3.11894
"956",12.4271
"957",0
"958",3.57235
"959",0
"960",0
"961",3.12006
"962",2.42377
"963",4.45302
"964",0
"965",0
"966",0
"967",0
"968",0
"969",0
"970",0
"971",2.9624
"972",6.09423
"973",0
"974",1.98632
"975",4.72749
"976",0
"977",6.56631
"978",0
"979",2.33618
"980",0
"981",0
"982",29.651
"983",3.88089
"984",0
"985",0.997823
"986",0
"987",2.93001
"988",0
"989",3.72431
"990",0
"991",1.05266
"992",0
"993",0
"994",0
"995",62.949
"996",0
"997",51.243
"998",0
"999",0
